Game,Score,0
1,1,0
2,0,0
3,0,0
4,0,0
5,23,0
6,0,0
7,0,0
8,4,0
1,2,160
2,1,159
3,0,158
4,1,157
5,0,156
6,1,155
7,0,154
8,2,153
9,0,152
10,1,151
11,0,150
12,0,149
13,2,148
14,0,147
15,1,146
16,1,145
17,0,144
18,1,143
19,0,142
20,3,141
21,1,140
22,1,139
23,0,138
24,1,137
25,0,136
26,1,135
27,0,134
28,1,133
29,0,132
30,1,131
31,1,130
32,1,129
33,3,128
34,2,127
35,1,126
36,2,125
37,1,124
38,3,123
39,2,122
40,2,121
41,2,120
42,1,119
43,1,118
44,4,117
45,3,116
46,4,115
47,4,114
48,5,113
49,5,112
50,5,111
51,1,110
52,7,109
53,2,108
54,5,107
55,2,106
56,5,105
57,1,104
58,4,103
59,6,102
60,3,101
61,1,100
62,6,99
63,1,98
64,0,97
65,1,96
66,8,95
67,4,94
68,6,93
69,4,92
70,13,91
71,5,90
72,4,89
73,5,88
74,8,87
75,5,86
76,2,85
77,17,84
78,8,83
79,2,82
80,5,81
81,4,80
82,9,79
83,25,78
84,7,77
85,5,76
86,16,75
87,7,74
88,14,73
89,5,72
90,29,71
91,5,70
92,1,69
93,21,68
94,22,67
95,3,66
96,17,65
97,28,64
98,5,63
99,2,62
100,16,61
101,9,60
102,37,59
103,11,58
104,14,57
105,15,56
106,22,55
107,17,54
108,19,53
109,22,52
110,26,51
111,19,50
112,8,49
113,17,48
114,11,47
115,10,46
116,16,45
117,24,44
118,32,43
119,20,42
120,32,41
121,22,40
122,26,39
123,15,38
124,46,37
125,17,36
126,11,35
127,9,34
128,43,33
129,26,32
130,14,31
131,36,30
132,20,29
133,27,28
134,23,27
135,8,26
136,41,25
137,38,24
138,44,23
139,25,22
140,31,21
141,31,20
142,24,20
143,18,20
144,28,20
145,19,20
146,27,20
147,33,20
148,1,20
149,40,20
150,5,20
151,14,20
152,34,20
153,10,20
154,15,20
155,27,20
156,18,20
157,18,20
158,35,20
159,29,20
160,24,20
161,25,20
162,22,20
163,18,20
164,29,20
165,17,20
166,41,20
167,31,20
168,9,20
169,34,20
170,19,20
171,31,20
172,37,20
173,25,20
174,25,20
175,29,20
176,20,20
177,30,20
178,13,20
179,49,20
180,30,20
181,32,20
182,18,20
183,18,20
184,32,20
185,5,20
186,37,20
187,21,20
188,56,20
189,16,20
190,23,20
191,27,20
192,46,20
193,25,20
194,34,20
195,34,20
196,57,20
197,22,20
198,25,20
199,40,20
200,18,20
201,17,20
202,44,20
203,20,20
204,29,20
205,22,20
206,13,20
207,31,20
208,13,20
209,11,20
210,42,20
211,21,20
212,29,20
213,29,20
214,34,20
215,31,20
216,27,20
217,38,20
218,14,20
219,32,20
220,28,20
221,8,20
222,29,20
223,29,20
224,40,20
225,24,20
226,27,20
227,5,20
228,34,20
229,23,20
230,4,20
231,37,20
232,19,20
233,29,20
234,24,20
235,34,20
236,39,20
237,15,20
238,20,20
239,12,20
240,31,20
241,11,20
242,16,20
243,28,20
244,28,20
245,34,20
246,7,20
247,31,20
248,30,20
249,26,20
250,34,20
251,51,20
252,38,20
253,20,20
254,43,20
255,43,20
256,37,20
257,31,20
258,17,20
259,53,20
260,33,20
261,23,20
262,37,20
263,34,20
264,13,20
265,37,20
266,4,20
267,5,20
268,37,20
269,25,20
270,31,20
271,36,20
272,7,20
273,35,20
274,48,20
275,25,20
276,30,20
277,18,20
278,17,20
279,42,20
280,57,20
281,14,20
282,29,20
283,35,20
284,34,20
285,34,20
286,30,20
287,27,20
288,23,20
289,23,20
290,29,20
291,30,20
292,22,20
293,7,20
294,28,20
295,15,20
296,45,20
297,46,20
298,26,20
299,47,20
300,36,20
301,33,20
302,29,20
303,40,20
304,42,20
305,30,20
306,30,20
307,33,20
308,12,20
309,26,20
310,11,20
311,34,20
312,28,20
313,36,20
314,11,20
315,29,20
316,48,20
317,28,20
318,36,20
319,10,20
320,12,20
321,32,20
322,32,20
323,18,20
324,24,20
325,21,20
326,34,20
327,43,20
328,14,20
329,12,20
330,23,20
331,42,20
332,10,20
333,10,20
334,6,20
335,32,20
336,11,20
337,8,20
338,28,20
339,31,20
340,29,20
341,30,20
342,24,20
343,27,20
344,34,20
345,43,20
346,14,20
347,20,20
348,32,20
349,42,20
350,29,20
351,27,20
352,4,20
353,40,20
354,32,20
355,55,20
356,38,20
357,39,20
358,20,20
359,13,20
360,46,20
361,14,20
362,37,20
363,21,20
364,26,20
365,8,20
366,38,20
367,24,20
368,33,20
369,27,20
370,26,20
371,17,20
372,53,20
373,14,20
374,17,20
375,21,20
376,38,20
377,28,20
378,28,20
379,10,20
380,25,20
381,31,20
382,40,20
383,14,20
384,22,20
385,25,20
386,3,20
387,17,20
388,25,20
389,19,20
390,30,20
391,31,20
392,19,20
393,27,20
394,45,20
395,18,20
396,24,20
397,30,20
398,35,20
399,38,20
400,14,20
401,53,20
402,18,20
403,13,20
404,8,20
405,13,20
406,33,20
407,21,20
408,41,20
409,15,20
410,14,20
411,20,20
412,21,20
413,15,20
414,31,20
415,27,20
416,31,20
417,27,20
418,47,20
419,13,20
420,23,20
421,48,20
422,16,20
423,30,20
424,48,20
425,38,20
426,14,20
427,4,20
428,16,20
429,5,20
